Loaded image name: city-neq.jpg
Loaded image W= 15360, H = 8640, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0      94366      94366
    1          0          0          0          0      94366
    2          0          0          0    1084335    1178701
    3          0          0          0          0    1178701
    4          0          0          0          0    1178701
    5          0          0          0          0    1178701
    6          0          0          0          0    1178701
    7          0          0          0    2346183    3524884
    8          0          0          0          0    3524884
    9          0          0          0          0    3524884
   10          0          0          0          0    3524884
   11          0          0          0          0    3524884
   12          0          0          0          0    3524884
   13          0          0          0          0    3524884
   14          0          0          0    3546203    7071087
   15          0          0          0          0    7071087
   16          0          0          0          0    7071087
   17          0          0          0          0    7071087
   18          0          0          0          0    7071087
   19          0          0          0          0    7071087
   20          0          0          0          0    7071087
   21          0          0          0    4069946   11141033
   22          0          0          0          0   11141033
   23          0          0          0          0   11141033
   24          0          0          0          0   11141033
   25          0          0          0          0   11141033
   26          0          0          0          0   11141033
   27          0          0          0          0   11141033
   28          0          0          0          0   11141033
   29          0          0          0    4204259   15345292
   30          0          0          0          0   15345292
   31          0          0          0          0   15345292
   32          0          0          0          0   15345292
   33          0          0          0          0   15345292
   34          0          0          0          0   15345292
   35          0          0          0          0   15345292
   36          0          0          0          0   15345292
   37          0          0          0    3771516   19116808
   38          0          0          0          0   19116808
   39          0          0          0          0   19116808
   40          0          0          0          0   19116808
   41          0          0          0          0   19116808
   42          0          0          0          0   19116808
   43          0          0          0          0   19116808
   44          0          0          0          0   19116808
   45          0          0          0          0   19116808
   46          0          0          0          0   19116808
   47          0          0          0          0   19116808
   48          0          0          0          0   19116808
   49          0          0          0          0   19116808
   50          0          0          0          0   19116808
   51          0          0          0          0   19116808
   52          0          0          0    7818586   26935394
   53          0          0          0          0   26935394
   54          0          0          0          0   26935394
   55          0          0          0          0   26935394
   56          0          0          0          0   26935394
   57          0          0          0          0   26935394
   58          0          0          0          0   26935394
   59          0          0          0          0   26935394
   60          0          0          0          0   26935394
   61          0          0          0          0   26935394
   62          0          0          0          0   26935394
   63          0          0          0          0   26935394
   64          0          0          0          0   26935394
   65          0          0          0          0   26935394
   66          0          0          0    7469526   34404920
   67          0          0          0          0   34404920
   68          0          0          0          0   34404920
   69          0          0          0          0   34404920
   70          0          0          0          0   34404920
   71          0          0          0          0   34404920
   72          0          0          0          0   34404920
   73          0          0          0          0   34404920
   74          0          0          0          0   34404920
   75          0          0          0    4585432   38990352
   76          0          0          0          0   38990352
   77          0          0          0          0   38990352
   78          0          0          0          0   38990352
   79          0          0          0          0   38990352
   80       2504       2504       2504          0   38990352
   81      91862      94366      94366          0   38990352
   82    1084335    1178701    1178701          0   38990352
   83    2346183    3524884    3524884          0   38990352
   84    3546203    7071087    7071087          0   38990352
   85    4069946   11141033   11141033          0   38990352
   86    4204259   15345292   15345292          0   38990352
   87    3771516   19116808   19116808    6305508   45295860
   88    7818586   26935394   26935394          0   45295860
   89    7469526   34404920   34404920          0   45295860
   90    4585432   38990352   38990352          0   45295860
   91    6305508   45295860   45295860          0   45295860
   92    6470474   51766334   51766334          0   45295860
   93    7662920   59429254   59429254          0   45295860
   94    5072417   64501671   64501671          0   45295860
   95    7214082   71715753   71715753          0   45295860
   96    6211527   77927280   77927280          0   45295860
   97    3235429   81162709   81162709          0   45295860
   98    3530896   84693605   84693605          0   45295860
   99    3439018   88132623   88132623    6470474   51766334
  100    4620233   92752856   92752856          0   51766334
  101    3290406   96043262   96043262          0   51766334
  102    4086269  100129531  100129531          0   51766334
  103    3267520  103397051  103397051          0   51766334
  104    2409293  105806344  105806344          0   51766334
  105    4417955  110224299  110224299          0   51766334
  106    4685075  114909374  114909374          0   51766334
  107    3992652  118902026  118902026          0   51766334
  108    2192881  121094907  121094907          0   51766334
  109    2196459  123291366  123291366          0   51766334
  110    1839995  125131361  125131361          0   51766334
  111    1334336  126465697  126465697          0   51766334
  112     717041  127182738  127182738          0   51766334
  113     780193  127962931  127962931          0   51766334
  114     589034  128551965  128551965    7662920   59429254
  115     335723  128887688  128887688          0   59429254
  116     414992  129302680  129302680          0   59429254
  117     372107  129674787  129674787          0   59429254
  118     326926  130001713  130001713          0   59429254
  119     197713  130199426  130199426          0   59429254
  120     237322  130436748  130436748          0   59429254
  121     209320  130646068  130646068          0   59429254
  122     131601  130777669  130777669          0   59429254
  123     168178  130945847  130945847          0   59429254
  124     147238  131093085  131093085    5072417   64501671
  125     130176  131223261  131223261          0   64501671
  126      83536  131306797  131306797          0   64501671
  127     107950  131414747  131414747          0   64501671
  128      96770  131511517  131511517          0   64501671
  129      62205  131573722  131573722          0   64501671
  130      83339  131657061  131657061          0   64501671
  131      79110  131736171  131736171          0   64501671
  132      73313  131809484  131809484          0   64501671
  133      49032  131858516  131858516          0   64501671
  134      64325  131922841  131922841          0   64501671
  135      62405  131985246  131985246          0   64501671
  136      42665  132027911  132027911          0   64501671
  137      56896  132084807  132084807          0   64501671
  138      54537  132139344  132139344    7214082   71715753
  139      51164  132190508  132190508          0   71715753
  140      34477  132224985  132224985          0   71715753
  141      49931  132274916  132274916          0   71715753
  142      45497  132320413  132320413          0   71715753
  143      27065  132347478  132347478          0   71715753
  144      35060  132382538  132382538          0   71715753
  145      31860  132414398  132414398          0   71715753
  146      29050  132443448  132443448          0   71715753
  147      19674  132463122  132463122          0   71715753
  148      26026  132489148  132489148          0   71715753
  149      24623  132513771  132513771          0   71715753
  150      22312  132536083  132536083    6211527   77927280
  151      14282  132550365  132550365          0   77927280
  152      18515  132568880  132568880          0   77927280
  153      17190  132586070  132586070          0   77927280
  154      11214  132597284  132597284          0   77927280
  155      14563  132611847  132611847          0   77927280
  156      13607  132625454  132625454    3235429   81162709
  157      12378  132637832  132637832          0   81162709
  158       8115  132645947  132645947          0   81162709
  159      10924  132656871  132656871          0   81162709
  160      11165  132668036  132668036          0   81162709
  161       7013  132675049  132675049          0   81162709
  162       8387  132683436  132683436          0   81162709
  163       7286  132690722  132690722    3530896   84693605
  164       5624  132696346  132696346          0   84693605
  165       3097  132699443  132699443          0   84693605
  166       3411  132702854  132702854          0   84693605
  167       2975  132705829  132705829          0   84693605
  168       1178  132707007  132707007          0   84693605
  169       1004  132708011  132708011    3439018   88132623
  170        782  132708793  132708793          0   88132623
  171        478  132709271  132709271          0   88132623
  172        269  132709540  132709540          0   88132623
  173        452  132709992  132709992          0   88132623
  174        389  132710381  132710381          0   88132623
  175         19  132710400  132710400          0   88132623
  176          0  132710400  132710400          0   88132623
  177          0  132710400  132710400          0   88132623
  178          0  132710400  132710400    4620233   92752856
  179          0  132710400  132710400          0   92752856
  180          0  132710400  132710400          0   92752856
  181          0  132710400  132710400          0   92752856
  182          0  132710400  132710400          0   92752856
  183          0  132710400  132710400          0   92752856
  184          0  132710400  132710400          0   92752856
  185          0  132710400  132710400    3290406   96043262
  186          0  132710400  132710400          0   96043262
  187          0  132710400  132710400          0   96043262
  188          0  132710400  132710400          0   96043262
  189          0  132710400  132710400          0   96043262
  190          0  132710400  132710400          0   96043262
  191          0  132710400  132710400          0   96043262
  192          0  132710400  132710400    4086269  100129531
  193          0  132710400  132710400          0  100129531
  194          0  132710400  132710400          0  100129531
  195          0  132710400  132710400          0  100129531
  196          0  132710400  132710400          0  100129531
  197          0  132710400  132710400          0  100129531
  198          0  132710400  132710400          0  100129531
  199          0  132710400  132710400    3267520  103397051
  200          0  132710400  132710400          0  103397051
  201          0  132710400  132710400          0  103397051
  202          0  132710400  132710400          0  103397051
  203          0  132710400  132710400    2409293  105806344
  204          0  132710400  132710400          0  105806344
  205          0  132710400  132710400          0  105806344
  206          0  132710400  132710400          0  105806344
  207          0  132710400  132710400          0  105806344
  208          0  132710400  132710400          0  105806344
  209          0  132710400  132710400          0  105806344
  210          0  132710400  132710400          0  105806344
  211          0  132710400  132710400          0  105806344
  212          0  132710400  132710400    4417955  110224299
  213          0  132710400  132710400          0  110224299
  214          0  132710400  132710400          0  110224299
  215          0  132710400  132710400          0  110224299
  216          0  132710400  132710400          0  110224299
  217          0  132710400  132710400          0  110224299
  218          0  132710400  132710400          0  110224299
  219          0  132710400  132710400          0  110224299
  220          0  132710400  132710400          0  110224299
  221          0  132710400  132710400    4685075  114909374
  222          0  132710400  132710400          0  114909374
  223          0  132710400  132710400          0  114909374
