Loaded image name: city2-neq.jpg
Loaded image W= 15360, H = 8640, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0     247482     247482
    1          0          0          0     105402     352884
    2          0          0          0     519234     872118
    3          0          0          0          0     872118
    4          0          0          0    1138448    2010566
    5          0          0          0          0    2010566
    6          0          0          0          0    2010566
    7          0          0          0    1850204    3860770
    8          0          0          0          0    3860770
    9          0          0          0          0    3860770
   10          0          0          0          0    3860770
   11          0          0          0          0    3860770
   12          0          0          0    2211140    6071910
   13          0          0          0          0    6071910
   14          0          0          0          0    6071910
   15          0          0          0          0    6071910
   16          0          0          0          0    6071910
   17          0          0          0          0    6071910
   18          0          0          0          0    6071910
   19          0          0          0          0    6071910
   20          0          0          0    4085636   10157546
   21          0          0          0          0   10157546
   22          0          0          0          0   10157546
   23          0          0          0          0   10157546
   24          0          0          0          0   10157546
   25          0          0          0    2765098   12922644
   26          0          0          0          0   12922644
   27          0          0          0          0   12922644
   28          0          0          0          0   12922644
   29          0          0          0          0   12922644
   30          0          0          0    2732508   15655152
   31          0          0          0          0   15655152
   32          0          0          0          0   15655152
   33          0          0          0          0   15655152
   34          0          0          0          0   15655152
   35          0          0          0          0   15655152
   36          0          0          0    2899832   18554984
   37          0          0          0          0   18554984
   38          0          0          0          0   18554984
   39          0          0          0          0   18554984
   40          0          0          0          0   18554984
   41          0          0          0          0   18554984
   42          0          0          0          0   18554984
   43          0          0          0          0   18554984
   44          0          0          0    4402484   22957468
   45          0          0          0          0   22957468
   46          0          0          0          0   22957468
   47          0          0          0          0   22957468
   48          0          0          0          0   22957468
   49          0          0          0          0   22957468
   50          0          0          0          0   22957468
   51          0          0          0    3633742   26591210
   52          0          0          0          0   26591210
   53          0          0          0          0   26591210
   54          0          0          0          0   26591210
   55          0          0          0          0   26591210
   56          0          0          0          0   26591210
   57          0          0          0    3201839   29793049
   58          0          0          0          0   29793049
   59          0          0          0          0   29793049
