Loaded image name: forest-neq.jpg
Loaded image W= 12325, H = 9979, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0      89594      89594
    1          0          0          0     460017     549611
    2          0          0          0          0     549611
    3          0          0          0          0     549611
    4          0          0          0    1244707    1794318
    5          0          0          0          0    1794318
    6          0          0          0          0    1794318
    7          0          0          0    1716768    3511086
    8          0          0          0          0    3511086
    9          0          0          0          0    3511086
   10          0          0          0          0    3511086
   11          0          0          0          0    3511086
   12          0          0          0    2234023    5745109
   13          0          0          0          0    5745109
   14          0          0          0          0    5745109
   15          0          0          0          0    5745109
   16          0          0          0    1852946    7598055
   17          0          0          0          0    7598055
   18          0          0          0          0    7598055
   19          0          0          0          0    7598055
   20          0          0          0          0    7598055
   21          0          0          0          0    7598055
   22          0          0          0    3093644   10691699
   23          0          0          0          0   10691699
   24          0          0          0          0   10691699
   25          0          0          0          0   10691699
   26          0          0          0          0   10691699
   27          0          0          0          0   10691699
   28          0          0          0          0   10691699
   29          0          0          0          0   10691699
   30          0          0          0    3555653   14247352
   31          0          0          0          0   14247352
   32          0          0          0          0   14247352
   33          0          0          0          0   14247352
   34          0          0          0          0   14247352
   35          0          0          0          0   14247352
   36          0          0          0          0   14247352
   37          0          0          0    3799298   18046650
   38          0          0          0          0   18046650
   39          0          0          0          0   18046650
   40          0          0          0          0   18046650
   41          0          0          0          0   18046650
   42          0          0          0          0   18046650
   43          0          0          0    2823719   20870369
   44          0          0          0          0   20870369
   45          0          0          0          0   20870369
   46          0          0          0          0   20870369
   47          0          0          0          0   20870369
   48          0          0          0          0   20870369
   49          0          0          0          0   20870369
   50          0          0          0          0   20870369
   51          0          0          0          0   20870369
   52          0          0          0    4110753   24981122
   53          0          0          0          0   24981122
   54          0          0          0          0   24981122
   55          0          0          0          0   24981122
   56          0          0          0          0   24981122
   57          0          0          0          0   24981122
   58          0          0          0          0   24981122
   59          0          0          0          0   24981122
   60          0          0          0    4198929   29180051
   61          0          0          0          0   29180051
   62          0          0          0          0   29180051
   63          0          0          0          0   29180051
   64          0          0          0          0   29180051
   65          0          0          0          0   29180051
   66          0          0          0          0   29180051
   67          0          0          0          0   29180051
   68          0          0          0          0   29180051
   69          0          0          0    4197623   33377674
   70          0          0          0          0   33377674
   71          0          0          0          0   33377674
   72          0          0          0          0   33377674
   73          0          0          0          0   33377674
   74          0          0          0          0   33377674
   75          0          0          0          0   33377674
   76          0          0          0          0   33377674
   77          0          0          0          0   33377674
   78          0          0          0    4038263   37415937
   79          0          0          0          0   37415937
   80       2532       2532       2532          0   37415937
   81      87062      89594      89594          0   37415937
   82     460017     549611     549611          0   37415937
   83    1244707    1794318    1794318    2787693   40203630
   84    1716768    3511086    3511086          0   40203630
   85    2234023    5745109    5745109          0   40203630
   86    1852946    7598055    7598055          0   40203630
   87    3093644   10691699   10691699          0   40203630
   88    3555653   14247352   14247352          0   40203630
   89    3799298   18046650   18046650          0   40203630
   90    2823719   20870369   20870369          0   40203630
   91    4110753   24981122   24981122    3903612   44107242
   92    4198929   29180051   29180051          0   44107242
   93    4197623   33377674   33377674          0   44107242
   94    4038263   37415937   37415937          0   44107242
   95    2787693   40203630   40203630          0   44107242
   96    3903612   44107242   44107242          0   44107242
   97    3834058   47941300   47941300          0   44107242
   98    3686539   51627839   51627839          0   44107242
   99    2553366   54181205   54181205    3834058   47941300
  100    3642449   57823654   57823654          0   47941300
  101    3625616   61449270   61449270          0   47941300
  102    3430501   64879771   64879771          0   47941300
  103    2280015   67159786   67159786          0   47941300
  104    3039073   70198859   70198859          0   47941300
  105    2820846   73019705   73019705          0   47941300
  106    2580334   75600039   75600039          0   47941300
  107    2348117   77948156   77948156    3686539   51627839
  108    1550221   79498377   79498377          0   51627839
  109    2077688   81576065   81576065          0   51627839
  110    1983483   83559548   83559548          0   51627839
  111    1843686   85403234   85403234          0   51627839
  112    1230159   86633393   86633393    2553366   54181205
  113    1673737   88307130   88307130          0   54181205
  114    1602228   89909358   89909358          0   54181205
  115    1512216   91421574   91421574          0   54181205
  116    1412925   92834499   92834499          0   54181205
  117     948230   93782729   93782729          0   54181205
  118    1295439   95078168   95078168          0   54181205
  119    1256299   96334467   96334467          0   54181205
  120    1184643   97519110   97519110    3642449   57823654
