Loaded image name: jama-neq.jpg
Loaded image W= 3024, H = 4032, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0       4859       4859
    1          0          0          0          0       4859
    2          0          0          0          0       4859
    3          0          0          0          0       4859
    4          0          0          0          0       4859
    5          0          0          0          0       4859
    6          0          0          0          0       4859
    7          0          0          0     318254     323113
    8          0          0          0          0     323113
    9          0          0          0          0     323113
   10          0          0          0          0     323113
   11          0          0          0          0     323113
   12          0          0          0          0     323113
   13          0          0          0          0     323113
   14          0          0          0          0     323113
   15          0          0          0          0     323113
   16          0          0          0          0     323113
   17          0          0          0          0     323113
   18          0          0          0          0     323113
   19          0          0          0          0     323113
   20          0          0          0          0     323113
   21          0          0          0          0     323113
   22          0          0          0          0     323113
   23          0          0          0          0     323113
   24          0          0          0          0     323113
   25          0          0          0          0     323113
   26          0          0          0          0     323113
   27          0          0          0          0     323113
   28          0          0          0          0     323113
   29          0          0          0          0     323113
   30          0          0          0          0     323113
   31          0          0          0          0     323113
   32          0          0          0          0     323113
   33          0          0          0          0     323113
   34          0          0          0          0     323113
   35          0          0          0          0     323113
   36          0          0          0          0     323113
   37          0          0          0          0     323113
   38          0          0          0          0     323113
   39          0          0          0          0     323113
   40          0          0          0    1590651    1913764
   41          0          0          0          0    1913764
   42          0          0          0          0    1913764
   43          0          0          0          0    1913764
   44          0          0          0          0    1913764
   45          0          0          0          0    1913764
   46          0          0          0          0    1913764
   47          0          0          0          0    1913764
   48          0          0          0          0    1913764
   49          0          0          0          0    1913764
   50          0          0          0          0    1913764
   51          0          0          0          0    1913764
   52          0          0          0          0    1913764
   53          0          0          0          0    1913764
   54          0          0          0          0    1913764
   55          0          0          0          0    1913764
   56          0          0          0          0    1913764
   57          0          0          0          0    1913764
   58          0          0          0          0    1913764
   59          0          0          0          0    1913764
   60          0          0          0          0    1913764
   61          0          0          0          0    1913764
   62          0          0          0          0    1913764
   63          0          0          0          0    1913764
   64          0          0          0    1164613    3078377
   65          0          0          0          0    3078377
   66          0          0          0          0    3078377
   67          0          0          0          0    3078377
   68          0          0          0          0    3078377
   69          0          0          0          0    3078377
   70          0          0          0          0    3078377
   71          0          0          0          0    3078377
   72          0          0          0          0    3078377
   73          0          0          0          0    3078377
   74          0          0          0          0    3078377
   75          0          0          0          0    3078377
   76          0          0          0          0    3078377
   77          0          0          0          0    3078377
   78          0          0          0          0    3078377
   79          0          0          0          0    3078377
   80          0          0          0          0    3078377
   81          0          0          0     790419    3868796
   82          0          0          0          0    3868796
   83          0          0          0          0    3868796
   84          0          0          0          0    3868796
   85          0          0          0          0    3868796
   86          0          0          0          0    3868796
   87       4859       4859       4859          0    3868796
   88     318254     323113     323113          0    3868796
   89    1590651    1913764    1913764          0    3868796
   90    1164613    3078377    3078377          0    3868796
   91     790419    3868796    3868796          0    3868796
   92     511407    4380203    4380203     511407    4380203
   93     437049    4817252    4817252          0    4380203
   94     358997    5176249    5176249          0    4380203
   95     364022    5540271    5540271          0    4380203
   96     247935    5788206    5788206          0    4380203
   97     216218    6004424    6004424          0    4380203
   98     186088    6190512    6190512          0    4380203
   99     181128    6371640    6371640          0    4380203
  100     261962    6633602    6633602          0    4380203
  101     186723    6820325    6820325     437049    4817252
  102     179577    6999902    6999902          0    4817252
  103     177146    7177048    7177048          0    4817252
  104     181119    7358167    7358167          0    4817252
  105     238818    7596985    7596985          0    4817252
  106     159369    7756354    7756354          0    4817252
  107     147288    7903642    7903642          0    4817252
  108     140418    8044060    8044060     358997    5176249
  109     141686    8185746    8185746          0    5176249
  110     191055    8376801    8376801          0    5176249
  111     135595    8512396    8512396          0    5176249
  112     128532    8640928    8640928          0    5176249
  113     126307    8767235    8767235          0    5176249
  114     128904    8896139    8896139          0    5176249
  115     175377    9071516    9071516          0    5176249
  116     124295    9195811    9195811     364022    5540271
  117     115781    9311592    9311592          0    5540271
  118     112762    9424354    9424354          0    5540271
  119     114385    9538739    9538739          0    5540271
  120     151181    9689920    9689920          0    5540271
  121     107390    9797310    9797310     247935    5788206
  122     103003    9900313    9900313          0    5788206
  123     102448   10002761   10002761          0    5788206
  124     106443   10109204   10109204          0    5788206
  125     136265   10245469   10245469          0    5788206
  126      93901   10339370   10339370     216218    6004424
  127      87101   10426471   10426471          0    6004424
  128      84195   10510666   10510666          0    6004424
  129      84910   10595576   10595576     186088    6190512
  130     107885   10703461   10703461          0    6190512
  131      76801   10780262   10780262          0    6190512
  132      73150   10853412   10853412          0    6190512
  133      72986   10926398   10926398     181128    6371640
  134      73030   10999428   10999428          0    6371640
  135      93065   11092493   11092493          0    6371640
  136      67092   11159585   11159585          0    6371640
  137      63176   11222761   11222761          0    6371640
  138      61833   11284594   11284594          0    6371640
  139      62382   11346976   11346976     261962    6633602
  140      82144   11429120   11429120          0    6633602
  141      58150   11487270   11487270          0    6633602
  142      54353   11541623   11541623          0    6633602
  143      53784   11595407   11595407     186723    6820325
  144      55299   11650706   11650706          0    6820325
  145      68954   11719660   11719660          0    6820325
  146      48758   11768418   11768418     179577    6999902
  147      45770   11814188   11814188          0    6999902
  148      44572   11858760   11858760          0    6999902
  149      43110   11901870   11901870          0    6999902
  150      48885   11950755   11950755     177146    7177048
  151      35244   11985999   11985999          0    7177048
  152      33307   12019306   12019306          0    7177048
  153      28832   12048138   12048138          0    7177048
  154      26336   12074474   12074474     181119    7358167
  155      31939   12106413   12106413          0    7358167
  156      21265   12127678   12127678          0    7358167
  157      17236   12144914   12144914          0    7358167
  158      14333   12159247   12159247          0    7358167
  159      12254   12171501   12171501     238818    7596985
  160      12467   12183968   12183968          0    7596985
  161       6166   12190134   12190134          0    7596985
  162       2322   12192456   12192456     159369    7756354
  163        301   12192757   12192757          0    7756354
  164         11   12192768   12192768          0    7756354
  165          0   12192768   12192768     147288    7903642
  166          0   12192768   12192768          0    7903642
  167          0   12192768   12192768          0    7903642
  168          0   12192768   12192768     140418    8044060
  169          0   12192768   12192768          0    8044060
  170          0   12192768   12192768          0    8044060
  171          0   12192768   12192768     141686    8185746
  172          0   12192768   12192768          0    8185746
  173          0   12192768   12192768          0    8185746
  174          0   12192768   12192768          0    8185746
  175          0   12192768   12192768     191055    8376801
  176          0   12192768   12192768          0    8376801
  177          0   12192768   12192768          0    8376801
  178          0   12192768   12192768     135595    8512396
  179          0   12192768   12192768          0    8512396
  180          0   12192768   12192768          0    8512396
  181          0   12192768   12192768     128532    8640928
  182          0   12192768   12192768          0    8640928
  183          0   12192768   12192768     126307    8767235
  184          0   12192768   12192768          0    8767235
  185          0   12192768   12192768          0    8767235
  186          0   12192768   12192768     128904    8896139
  187          0   12192768   12192768          0    8896139
  188          0   12192768   12192768          0    8896139
  189          0   12192768   12192768          0    8896139
  190          0   12192768   12192768     175377    9071516
  191          0   12192768   12192768          0    9071516
  192          0   12192768   12192768     124295    9195811
  193          0   12192768   12192768          0    9195811
  194          0   12192768   12192768          0    9195811
  195          0   12192768   12192768     115781    9311592
  196          0   12192768   12192768          0    9311592
  197          0   12192768   12192768     112762    9424354
  198          0   12192768   12192768          0    9424354
  199          0   12192768   12192768     114385    9538739
  200          0   12192768   12192768          0    9538739
  201          0   12192768   12192768          0    9538739
  202          0   12192768   12192768          0    9538739
  203          0   12192768   12192768     151181    9689920
  204          0   12192768   12192768          0    9689920
  205          0   12192768   12192768     107390    9797310
  206          0   12192768   12192768          0    9797310
  207          0   12192768   12192768     103003    9900313
  208          0   12192768   12192768          0    9900313
