Loaded image name: kolesar-neq.jpg
Loaded image W= 1024, H = 640, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0        385        385
    1          0          0          0       1227       1612
    2          0          0          0       3994       5606
    3          0          0          0          0       5606
    4          0          0          0          0       5606
    5          0          0          0       7925      13531
    6          0          0          0          0      13531
    7          0          0          0          0      13531
    8          0          0          0          0      13531
    9          0          0          0          0      13531
   10          0          0          0          0      13531
   11          0          0          0      13995      27526
   12          0          0          0          0      27526
   13          0          0          0          0      27526
   14          0          0          0          0      27526
   15          0          0          0          0      27526
   16          0          0          0      13178      40704
   17          0          0          0          0      40704
   18          0          0          0          0      40704
   19          0          0          0          0      40704
   20          0          0          0          0      40704
   21          0          0          0      13021      53725
   22          0          0          0          0      53725
   23          0          0          0          0      53725
   24          0          0          0          0      53725
   25          0          0          0          0      53725
   26          0          0          0          0      53725
   27          0          0          0      14690      68415
   28          0          0          0          0      68415
   29          0          0          0          0      68415
   30          0          0          0          0      68415
   31          0          0          0      12150      80565
   32          0          0          0          0      80565
   33          0          0          0          0      80565
   34          0          0          0          0      80565
   35          0          0          0          0      80565
   36          0          0          0      11600      92165
   37          0          0          0          0      92165
   38          0          0          0          0      92165
   39          0          0          0          0      92165
   40          0          0          0          0      92165
   41          0          0          0      12188     104353
   42          0          0          0          0     104353
   43          0          0          0          0     104353
   44          0          0          0          0     104353
   45          0          0          0          0     104353
   46          0          0          0      13965     118318
   47          0          0          0          0     118318
   48          0          0          0          0     118318
   49          0          0          0          0     118318
   50          0          0          0      11397     129715
   51          0          0          0          0     129715
   52          0          0          0          0     129715
   53          0          0          0          0     129715
   54          0          0          0          0     129715
   55          0          0          0      10846     140561
   56          0          0          0          0     140561
   57          0          0          0          0     140561
   58          0          0          0          0     140561
   59          0          0          0      11721     152282
   60          0          0          0          0     152282
   61          0          0          0          0     152282
   62          0          0          0          0     152282
   63          0          0          0       9479     161761
   64          0          0          0          0     161761
   65          0          0          0          0     161761
   66          0          0          0       8574     170335
   67          0          0          0          0     170335
   68          0          0          0          0     170335
   69          0          0          0          0     170335
   70          0          0          0       8420     178755
   71          0          0          0          0     178755
   72          0          0          0          0     178755
   73          0          0          0       9530     188285
   74          0          0          0          0     188285
   75          0          0          0          0     188285
   76          0          0          0       8305     196590
   77          0          0          0          0     196590
   78          0          0          0          0     196590
   79          0          0          0          0     196590
   80          0          0          0       8287     204877
   81          0          0          0          0     204877
   82          0          0          0          0     204877
   83          0          0          0       9526     214403
   84          0          0          0          0     214403
   85          0          0          0          0     214403
   86          0          0          0          0     214403
   87          0          0          0       8380     222783
   88          0          0          0          0     222783
   89          0          0          0          0     222783
   90          0          0          0       8522     231305
   91          0          0          0          0     231305
   92          0          0          0          0     231305
   93          0          0          0          0     231305
   94          0          0          0       9853     241158
   95          0          0          0          0     241158
   96          0          0          0          0     241158
   97         29         29         29       8440     249598
   98        356        385        385          0     249598
   99       1227       1612       1612          0     249598
  100       3994       5606       5606       8462     258060
  101       7925      13531      13531          0     258060
  102      13995      27526      27526          0     258060
  103      13178      40704      40704          0     258060
  104      13021      53725      53725       8658     266718
  105      14690      68415      68415          0     266718
  106      12150      80565      80565          0     266718
  107      11600      92165      92165          0     266718
  108      12188     104353     104353       9855     276573
  109      13965     118318     118318          0     276573
  110      11397     129715     129715          0     276573
  111      10846     140561     140561       8321     284894
  112      11721     152282     152282          0     284894
  113       9479     161761     161761          0     284894
  114       8574     170335     170335       7827     292721
  115       8420     178755     178755          0     292721
  116       9530     188285     188285          0     292721
  117       8305     196590     196590       7708     300429
  118       8287     204877     204877          0     300429
  119       9526     214403     214403       5442     305871
  120       8380     222783     222783          0     305871
  121       8522     231305     231305       4397     310268
  122       9853     241158     241158       3853     314121
  123       8440     249598     249598          0     314121
  124       8462     258060     258060       4329     318450
  125       8658     266718     266718          0     318450
  126       9855     276573     276573       4658     323108
  127       8321     284894     284894          0     323108
  128       7827     292721     292721       5604     328712
  129       7708     300429     300429          0     328712
  130       5442     305871     305871          0     328712
  131       4397     310268     310268       7914     336626
  132       3853     314121     314121          0     336626
  133       4329     318450     318450          0     336626
  134       4658     323108     323108          0     336626
  135       5604     328712     328712       9221     345847
  136       7914     336626     336626          0     345847
  137       9221     345847     345847          0     345847
  138      11082     356929     356929          0     345847
  139      14816     371745     371745      11082     356929
  140      14552     386297     386297          0     356929
  141      18693     404990     404990          0     356929
  142      23816     428806     428806          0     356929
  143      34685     463491     463491          0     356929
  144      35292     498783     498783          0     356929
  145      35976     534759     534759      14816     371745
  146      41970     576729     576729          0     371745
  147      29923     606652     606652          0     371745
  148      19445     626097     626097          0     371745
  149      13433     639530     639530          0     371745
  150       8176     647706     647706      14552     386297
  151       2582     650288     650288          0     386297
  152       1329     651617     651617          0     386297
  153       1233     652850     652850          0     386297
  154        751     653601     653601          0     386297
  155        663     654264     654264          0     386297
  156        710     654974     654974          0     386297
  157        353     655327     655327          0     386297
  158         33     655360     655360      18693     404990
  159          0     655360     655360          0     404990
  160          0     655360     655360          0     404990
  161          0     655360     655360          0     404990
  162          0     655360     655360          0     404990
  163          0     655360     655360          0     404990
  164          0     655360     655360          0     404990
  165          0     655360     655360          0     404990
  166          0     655360     655360          0     404990
  167          0     655360     655360      23816     428806
  168          0     655360     655360          0     428806
  169          0     655360     655360          0     428806
  170          0     655360     655360          0     428806
  171          0     655360     655360          0     428806
  172          0     655360     655360          0     428806
  173          0     655360     655360          0     428806
  174          0     655360     655360          0     428806
  175          0     655360     655360          0     428806
  176          0     655360     655360          0     428806
  177          0     655360     655360          0     428806
  178          0     655360     655360          0     428806
  179          0     655360     655360          0     428806
  180          0     655360     655360      34685     463491
  181          0     655360     655360          0     463491
  182          0     655360     655360          0     463491
  183          0     655360     655360          0     463491
  184          0     655360     655360          0     463491
  185          0     655360     655360          0     463491
  186          0     655360     655360          0     463491
  187          0     655360     655360          0     463491
  188          0     655360     655360          0     463491
  189          0     655360     655360          0     463491
  190          0     655360     655360          0     463491
  191          0     655360     655360          0     463491
  192          0     655360     655360          0     463491
  193          0     655360     655360          0     463491
  194          0     655360     655360      35292     498783
  195          0     655360     655360          0     498783
  196          0     655360     655360          0     498783
  197          0     655360     655360          0     498783
  198          0     655360     655360          0     498783
  199          0     655360     655360          0     498783
  200          0     655360     655360          0     498783
  201          0     655360     655360          0     498783
  202          0     655360     655360          0     498783
  203          0     655360     655360          0     498783
  204          0     655360     655360          0     498783
  205          0     655360     655360          0     498783
  206          0     655360     655360          0     498783
  207          0     655360     655360          0     498783
  208          0     655360     655360      35976     534759
  209          0     655360     655360          0     534759
  210          0     655360     655360          0     534759
  211          0     655360     655360          0     534759
  212          0     655360     655360          0     534759
  213          0     655360     655360          0     534759
  214          0     655360     655360          0     534759
  215          0     655360     655360          0     534759
  216          0     655360     655360          0     534759
  217          0     655360     655360          0     534759
  218          0     655360     655360          0     534759
  219          0     655360     655360          0     534759
  220          0     655360     655360          0     534759
  221          0     655360     655360          0     534759
  222          0     655360     655360          0     534759
  223          0     655360     655360          0     534759
  224          0     655360     655360      41970     576729
  225          0     655360     655360          0     576729
  226          0     655360     655360          0     576729
  227          0     655360     655360          0     576729
  228          0     655360     655360          0     576729
  229          0     655360     655360          0     576729
  230          0     655360     655360          0     576729
  231          0     655360     655360          0     576729
  232          0     655360     655360          0     576729
  233          0     655360     655360          0     576729
  234          0     655360     655360          0     576729
  235          0     655360     655360          0     576729
  236          0     655360     655360      29923     606652
  237          0     655360     655360          0     606652
  238          0     655360     655360          0     606652
  239          0     655360     655360          0     606652
  240          0     655360     655360          0     606652
  241          0     655360     655360          0     606652
  242          0     655360     655360          0     606652
  243          0     655360     655360          0     606652
  244          0     655360     655360      19445     626097
  245          0     655360     655360          0     626097
  246          0     655360     655360          0     626097
  247          0     655360     655360          0     626097
  248          0     655360     655360          0     626097
  249          0     655360     655360      13433     639530
  250          0     655360     655360          0     639530
  251          0     655360     655360          0     639530
  252          0     655360     655360       8176     647706
  253          0     655360     655360       2582     650288
  254          0     655360     655360       3313     653601
  255          0     655360     655360       1759     655360
Running on GPU: Tesla V100S-PCIE-32GB
Hist: 0.963008 ms CDF: 0.025760 ms CDF op: 0.024416 ms equalize: 0.047232 ms

