Loaded image name: lake-neq.jpg
Loaded image W= 7680, H = 4320, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0      55376      55376
    1          0          0          0     105891     161267
    2          0          0          0     119688     280955
    3          0          0          0     107188     388143
    4          0          0          0     132861     521004
    5          0          0          0     174422     695426
    6          0          0          0          0     695426
    7          0          0          0          0     695426
    8          0          0          0     334323    1029749
    9          0          0          0          0    1029749
   10          0          0          0     320321    1350070
   11          0          0          0          0    1350070
   12          0          0          0          0    1350070
   13          0          0          0     383677    1733747
   14          0          0          0          0    1733747
   15          0          0          0          0    1733747
   16          0          0          0          0    1733747
   17          0          0          0     466614    2200361
   18          0          0          0          0    2200361
   19          0          0          0          0    2200361
   20          0          0          0          0    2200361
   21          0          0          0          0    2200361
   22          0          0          0          0    2200361
   23          0          0          0     769929    2970290
   24          0          0          0          0    2970290
   25          0          0          0          0    2970290
   26          0          0          0          0    2970290
   27          0          0          0     575043    3545333
   28          0          0          0          0    3545333
   29          0          0          0          0    3545333
   30          0          0          0          0    3545333
   31          0          0          0          0    3545333
   32          0          0          0     611933    4157266
   33          0          0          0          0    4157266
   34          0          0          0          0    4157266
   35          0          0          0          0    4157266
   36          0          0          0          0    4157266
   37          0          0          0     674251    4831517
   38          0          0          0          0    4831517
   39          0          0          0          0    4831517
   40          0          0          0          0    4831517
   41          0          0          0          0    4831517
   42          0          0          0          0    4831517
   43          0          0          0          0    4831517
   44          0          0          0          0    4831517
   45          0          0          0    1024350    5855867
   46          0          0          0          0    5855867
   47          0          0          0          0    5855867
   48          0          0          0          0    5855867
   49          0          0          0          0    5855867
   50          0          0          0          0    5855867
   51          0          0          0     720689    6576556
   52          0          0          0          0    6576556
   53          0          0          0          0    6576556
   54          0          0          0          0    6576556
   55          0          0          0          0    6576556
   56          0          0          0     697048    7273604
   57          0          0          0          0    7273604
   58          0          0          0          0    7273604
   59          0          0          0          0    7273604
   60          0          0          0          0    7273604
   61          0          0          0     689581    7963185
   62          0          0          0          0    7963185
   63          0          0          0          0    7963185
   64          0          0          0          0    7963185
   65          0          0          0          0    7963185
   66          0          0          0          0    7963185
   67          0          0          0          0    7963185
   68          0          0          0     920626    8883811
   69        135        135        135          0    8883811
   70       4862       4997       4997          0    8883811
   71      20893      25890      25890          0    8883811
   72      29486      55376      55376          0    8883811
   73      43352      98728      98728     605410    9489221
   74      62539     161267     161267          0    9489221
   75     119688     280955     280955          0    9489221
   76     107188     388143     388143          0    9489221
   77     132861     521004     521004     565746   10054967
   78     174422     695426     695426          0   10054967
   79     334323    1029749    1029749          0   10054967
   80     320321    1350070    1350070          0   10054967
   81     383677    1733747    1733747          0   10054967
   82     466614    2200361    2200361     552533   10607500
   83     769929    2970290    2970290          0   10607500
   84     575043    3545333    3545333          0   10607500
   85     611933    4157266    4157266          0   10607500
   86     674251    4831517    4831517     565856   11173356
   87    1024350    5855867    5855867          0   11173356
   88     720689    6576556    6576556          0   11173356
   89     697048    7273604    7273604          0   11173356
   90     689581    7963185    7963185          0   11173356
   91     920626    8883811    8883811          0   11173356
   92     605410    9489221    9489221     816639   11989995
   93     565746   10054967   10054967          0   11989995
   94     552533   10607500   10607500          0   11989995
   95     565856   11173356   11173356          0   11989995
   96     816639   11989995   11989995     562252   12552247
   97     562252   12552247   12552247          0   12552247
   98     551863   13104110   13104110          0   12552247
   99     568244   13672354   13672354          0   12552247
  100     806264   14478618   14478618          0   12552247
  101     551337   15029955   15029955     551863   13104110
  102     531171   15561126   15561126          0   13104110
  103     524896   16086022   16086022          0   13104110
  104     715057   16801079   16801079          0   13104110
  105     466905   17267984   17267984     568244   13672354
  106     438989   17706973   17706973          0   13672354
  107     426617   18133590   18133590          0   13672354
  108     583143   18716733   18716733          0   13672354
  109     387469   19104202   19104202          0   13672354
  110     367145   19471347   19471347          0   13672354
  111     356974   19828321   19828321     806264   14478618
  112     355216   20183537   20183537          0   14478618
  113     488043   20671580   20671580          0   14478618
  114     324017   20995597   20995597          0   14478618
  115     313700   21309297   21309297          0   14478618
  116     324826   21634123   21634123     551337   15029955
  117     447290   22081413   22081413          0   15029955
  118     297556   22378969   22378969          0   15029955
  119     294882   22673851   22673851          0   15029955
  120     299378   22973229   22973229     531171   15561126
  121     390073   23363302   23363302          0   15561126
  122     236076   23599378   23599378          0   15561126
  123     208623   23808001   23808001          0   15561126
  124     198119   24006120   24006120     524896   16086022
  125     262963   24269083   24269083          0   16086022
  126     171992   24441075   24441075          0   16086022
  127     160432   24601507   24601507          0   16086022
  128     155852   24757359   24757359          0   16086022
  129     154576   24911935   24911935     715057   16801079
  130     224388   25136323   25136323          0   16801079
  131     161215   25297538   25297538          0   16801079
  132     160034   25457572   25457572          0   16801079
  133     153325   25610897   25610897     466905   17267984
  134     217365   25828262   25828262          0   17267984
  135     144547   25972809   25972809          0   17267984
  136     138624   26111433   26111433     438989   17706973
  137     131532   26242965   26242965          0   17706973
  138     182824   26425789   26425789          0   17706973
  139     119815   26545604   26545604     426617   18133590
  140     112866   26658470   26658470          0   18133590
  141     112244   26770714   26770714          0   18133590
  142     163705   26934419   26934419          0   18133590
  143     116390   27050809   27050809          0   18133590
  144     120366   27171175   27171175     583143   18716733
  145     123159   27294334   27294334          0   18716733
  146     124430   27418764   27418764          0   18716733
  147     194787   27613551   27613551     387469   19104202
  148     136549   27750100   27750100          0   19104202
  149     136737   27886837   27886837          0   19104202
  150     136911   28023748   28023748     367145   19471347
  151     211824   28235572   28235572          0   19471347
  152     133753   28369325   28369325     356974   19828321
  153     126072   28495397   28495397          0   19828321
  154     119807   28615204   28615204          0   19828321
  155     160938   28776142   28776142     355216   20183537
  156     105436   28881578   28881578          0   20183537
  157     100015   28981593   28981593          0   20183537
  158      97197   29078790   29078790          0   20183537
  159     128708   29207498   29207498     488043   20671580
  160      83823   29291321   29291321          0   20671580
  161      81355   29372676   29372676     324017   20995597
  162      83476   29456152   29456152          0   20995597
  163      85674   29541826   29541826          0   20995597
  164     123833   29665659   29665659     313700   21309297
  165      87635   29753294   29753294          0   21309297
  166      87512   29840806   29840806     324826   21634123
  167      88369   29929175   29929175          0   21634123
  168     123799   30052974   30052974          0   21634123
  169      80406   30133380   30133380          0   21634123
  170      76657   30210037   30210037     447290   22081413
  171      77234   30287271   30287271          0   22081413
  172     134127   30421398   30421398     297556   22378969
  173     115928   30537326   30537326          0   22378969
  174     205993   30743319   30743319     294882   22673851
  175     210962   30954281   30954281          0   22673851
  176     295690   31249971   31249971          0   22673851
  177     218299   31468270   31468270     299378   22973229
  178     184792   31653062   31653062          0   22973229
  179     190508   31843570   31843570          0   22973229
  180     286639   32130209   32130209     390073   23363302
  181     171178   32301387   32301387     236076   23599378
  182     135394   32436781   32436781          0   23599378
  183     149331   32586112   32586112     208623   23808001
  184     206344   32792456   32792456          0   23808001
  185     384049   33176505   33176505     198119   24006120
  186       1095   33177600   33177600          0   24006120
  187          0   33177600   33177600     262963   24269083
  188          0   33177600   33177600     171992   24441075
  189          0   33177600   33177600     160432   24601507
  190          0   33177600   33177600     155852   24757359
  191          0   33177600   33177600     154576   24911935
  192          0   33177600   33177600          0   24911935
  193          0   33177600   33177600     224388   25136323
  194          0   33177600   33177600     161215   25297538
  195          0   33177600   33177600          0   25297538
  196          0   33177600   33177600     160034   25457572
  197          0   33177600   33177600     153325   25610897
  198          0   33177600   33177600          0   25610897
  199          0   33177600   33177600     217365   25828262
  200          0   33177600   33177600     144547   25972809
  201          0   33177600   33177600     138624   26111433
  202          0   33177600   33177600     131532   26242965
  203          0   33177600   33177600     182824   26425789
  204          0   33177600   33177600     119815   26545604
  205          0   33177600   33177600     112866   26658470
  206          0   33177600   33177600     112244   26770714
  207          0   33177600   33177600     163705   26934419
  208          0   33177600   33177600     116390   27050809
  209          0   33177600   33177600     120366   27171175
  210          0   33177600   33177600     123159   27294334
  211          0   33177600   33177600     124430   27418764
  212          0   33177600   33177600     194787   27613551
  213          0   33177600   33177600     136549   27750100
  214          0   33177600   33177600     136737   27886837
  215          0   33177600   33177600     136911   28023748
  216          0   33177600   33177600          0   28023748
  217          0   33177600   33177600     211824   28235572
  218          0   33177600   33177600     133753   28369325
  219          0   33177600   33177600     126072   28495397
  220          0   33177600   33177600     119807   28615204
  221          0   33177600   33177600     160938   28776142
  222          0   33177600   33177600     105436   28881578
  223          0   33177600   33177600     197212   29078790
  224          0   33177600   33177600     128708   29207498
  225          0   33177600   33177600      83823   29291321
  226          0   33177600   33177600     164831   29456152
  227          0   33177600   33177600      85674   29541826
  228          0   33177600   33177600     123833   29665659
  229          0   33177600   33177600     175147   29840806
  230          0   33177600   33177600      88369   29929175
  231          0   33177600   33177600     123799   30052974
  232          0   33177600   33177600     157063   30210037
  233          0   33177600   33177600      77234   30287271
  234          0   33177600   33177600     134127   30421398
  235          0   33177600   33177600     115928   30537326
  236          0   33177600   33177600     205993   30743319
  237          0   33177600   33177600          0   30743319
  238          0   33177600   33177600     210962   30954281
  239          0   33177600   33177600          0   30954281
  240          0   33177600   33177600     295690   31249971
  241          0   33177600   33177600          0   31249971
  242          0   33177600   33177600     218299   31468270
  243          0   33177600   33177600     184792   31653062
  244          0   33177600   33177600          0   31653062
  245          0   33177600   33177600     190508   31843570
  246          0   33177600   33177600          0   31843570
  247          0   33177600   33177600     286639   32130209
  248          0   33177600   33177600     171178   32301387
  249          0   33177600   33177600     135394   32436781
  250          0   33177600   33177600     149331   32586112
  251          0   33177600   33177600          0   32586112
  252          0   33177600   33177600     206344   32792456
  253          0   33177600   33177600          0   32792456
  254          0   33177600   33177600          0   32792456
  255          0   33177600   33177600     385144   33177600
Running on GPU: Tesla V100S-PCIE-32GB
Hist: 1.521600 ms CDF: 0.021408 ms CDF op: 0.022624 ms equalize: 0.289600 ms

