Loaded image name: obala-neq.jpg
Loaded image W= 3024, H = 4032, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0       1540       1540
    1          0          0          0      24618      26158
    2          0          0          0          0      26158
    3          0          0          0     105461     131619
    4          0          0          0          0     131619
    5          0          0          0          0     131619
    6          0          0          0          0     131619
    7          0          0          0          0     131619
    8          0          0          0     244515     376134
    9          0          0          0          0     376134
   10          0          0          0          0     376134
   11          0          0          0          0     376134
   12          0          0          0          0     376134
   13          0          0          0     237088     613222
   14          0          0          0          0     613222
   15          0          0          0          0     613222
   16          0          0          0          0     613222
   17          0          0          0          0     613222
   18          0          0          0     244737     857959
   19          0          0          0          0     857959
   20          0          0          0          0     857959
   21          0          0          0          0     857959
   22          0          0          0          0     857959
   23          0          0          0     239784    1097743
   24          0          0          0          0    1097743
   25          0          0          0          0    1097743
   26          0          0          0          0    1097743
   27          0          0          0     197701    1295444
   28          0          0          0          0    1295444
   29          0          0          0          0    1295444
   30          0          0          0          0    1295444
   31          0          0          0     188290    1483734
   32          0          0          0          0    1483734
   33          0          0          0          0    1483734
   34          0          0          0          0    1483734
   35          0          0          0     180585    1664319
   36          0          0          0          0    1664319
   37          0          0          0          0    1664319
   38          0          0          0     154313    1818632
   39          0          0          0          0    1818632
   40          0          0          0          0    1818632
   41          0          0          0     130280    1948912
   42          0          0          0          0    1948912
   43          0          0          0          0    1948912
   44          0          0          0     151139    2100051
   45          0          0          0          0    2100051
   46          0          0          0          0    2100051
   47          0          0          0     165934    2265985
   48          0          0          0          0    2265985
   49          0          0          0          0    2265985
   50          0          0          0          0    2265985
   51          0          0          0     189086    2455071
   52          0          0          0          0    2455071
   53          0          0          0          0    2455071
   54          0          0          0          0    2455071
   55          0          0          0     198569    2653640
   56          0          0          0          0    2653640
   57          0          0          0          0    2653640
   58          0          0          0          0    2653640
   59          0          0          0          0    2653640
   60          0          0          0          0    2653640
   61          0          0          0     244480    2898120
   62          0          0          0          0    2898120
   63          0          0          0          0    2898120
   64          0          0          0          0    2898120
   65          0          0          0     233437    3131557
   66          0          0          0          0    3131557
   67          0          0          0          0    3131557
   68          0          0          0          0    3131557
   69          0          0          0          0    3131557
   70          0          0          0          0    3131557
   71          0          0          0     244481    3376038
   72          0          0          0          0    3376038
   73          0          0          0          0    3376038
   74          0          0          0     173307    3549345
   75          0          0          0          0    3549345
   76          0          0          0          0    3549345
   77          0          0          0          0    3549345
   78          0          0          0     161216    3710561
   79          0          0          0          0    3710561
   80          0          0          0          0    3710561
   81          0          0          0     146626    3857187
   82          0          0          0          0    3857187
   83          0          0          0          0    3857187
   84          0          0          0     143162    4000349
   85         34         34         34          0    4000349
   86       1506       1540       1540          0    4000349
   87      24618      26158      26158     154089    4154438
   88     105461     131619     131619          0    4154438
   89     244515     376134     376134          0    4154438
   90     237088     613222     613222          0    4154438
   91     244737     857959     857959     185907    4340345
   92     239784    1097743    1097743          0    4340345
   93     197701    1295444    1295444          0    4340345
   94     188290    1483734    1483734          0    4340345
   95     180585    1664319    1664319          0    4340345
   96     154313    1818632    1818632     264060    4604405
   97     130280    1948912    1948912          0    4604405
