Loaded image name: oneColor-s.jpg
Loaded image W= 1920, H = 1080, actual cpp = 3 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0    2073600    2073600
    1          0          0          0          0    2073600
    2          0          0          0          0    2073600
    3          0          0          0          0    2073600
    4          0          0          0          0    2073600
    5          0          0          0          0    2073600
    6          0          0          0          0    2073600
    7          0          0          0          0    2073600
    8          0          0          0          0    2073600
    9          0          0          0          0    2073600
   10          0          0          0          0    2073600
   11          0          0          0          0    2073600
   12          0          0          0          0    2073600
   13          0          0          0          0    2073600
   14          0          0          0          0    2073600
   15          0          0          0          0    2073600
   16          0          0          0          0    2073600
   17          0          0          0          0    2073600
   18          0          0          0          0    2073600
   19          0          0          0          0    2073600
   20          0          0          0          0    2073600
   21          0          0          0          0    2073600
   22          0          0          0          0    2073600
   23          0          0          0          0    2073600
   24          0          0          0          0    2073600
   25          0          0          0          0    2073600
   26          0          0          0          0    2073600
   27          0          0          0          0    2073600
   28          0          0          0          0    2073600
   29          0          0          0          0    2073600
   30          0          0          0          0    2073600
   31          0          0          0          0    2073600
   32          0          0          0          0    2073600
   33          0          0          0          0    2073600
   34          0          0          0          0    2073600
   35          0          0          0          0    2073600
   36          0          0          0          0    2073600
   37          0          0          0          0    2073600
   38          0          0          0          0    2073600
   39          0          0          0          0    2073600
   40          0          0          0          0    2073600
   41          0          0          0          0    2073600
   42          0          0          0          0    2073600
   43          0          0          0          0    2073600
   44          0          0          0          0    2073600
   45          0          0          0          0    2073600
   46          0          0          0          0    2073600
   47          0          0          0          0    2073600
   48          0          0          0          0    2073600
   49          0          0          0          0    2073600
   50          0          0          0          0    2073600
   51          0          0          0          0    2073600
   52          0          0          0          0    2073600
   53          0          0          0          0    2073600
   54          0          0          0          0    2073600
   55          0          0          0          0    2073600
   56          0          0          0          0    2073600
   57          0          0          0          0    2073600
   58          0          0          0          0    2073600
   59          0          0          0          0    2073600
   60          0          0          0          0    2073600
   61          0          0          0          0    2073600
   62          0          0          0          0    2073600
   63          0          0          0          0    2073600
   64          0          0          0          0    2073600
   65          0          0          0          0    2073600
   66          0          0          0          0    2073600
   67          0          0          0          0    2073600
   68          0          0          0          0    2073600
   69          0          0          0          0    2073600
   70          0          0          0          0    2073600
   71          0          0          0          0    2073600
   72          0          0          0          0    2073600
   73          0          0          0          0    2073600
   74          0          0          0          0    2073600
   75          0          0          0          0    2073600
   76          0          0          0          0    2073600
   77          0          0          0          0    2073600
   78          0          0          0          0    2073600
   79          0          0          0          0    2073600
   80          0          0          0          0    2073600
   81          0          0          0          0    2073600
   82          0          0          0          0    2073600
   83          0          0          0          0    2073600
   84          0          0          0          0    2073600
   85          0          0          0          0    2073600
   86          0          0          0          0    2073600
   87          0          0          0          0    2073600
   88          0          0          0          0    2073600
   89          0          0          0          0    2073600
   90          0          0          0          0    2073600
   91          0          0          0          0    2073600
   92          0          0          0          0    2073600
   93          0          0          0          0    2073600
   94          0          0          0          0    2073600
   95          0          0          0          0    2073600
   96          0          0          0          0    2073600
   97          0          0          0          0    2073600
   98          0          0          0          0    2073600
   99          0          0          0          0    2073600
  100          0          0          0          0    2073600
  101          0          0          0          0    2073600
  102          0          0          0          0    2073600
  103          0          0          0          0    2073600
  104          0          0          0          0    2073600
  105          0          0          0          0    2073600
  106          0          0          0          0    2073600
  107          0          0          0          0    2073600
  108          0          0          0          0    2073600
  109          0          0          0          0    2073600
  110          0          0          0          0    2073600
  111          0          0          0          0    2073600
  112          0          0          0          0    2073600
  113          0          0          0          0    2073600
  114          0          0          0          0    2073600
  115          0          0          0          0    2073600
  116          0          0          0          0    2073600
  117          0          0          0          0    2073600
  118          0          0          0          0    2073600
  119          0          0          0          0    2073600
  120          0          0          0          0    2073600
  121          0          0          0          0    2073600
  122          0          0          0          0    2073600
  123          0          0          0          0    2073600
  124          0          0          0          0    2073600
  125          0          0          0          0    2073600
  126          0          0          0          0    2073600
  127          0          0          0          0    2073600
  128    2073600    2073600    2073600          0    2073600
  129          0    2073600    2073600          0    2073600
  130          0    2073600    2073600          0    2073600
  131          0    2073600    2073600          0    2073600
  132          0    2073600    2073600          0    2073600
  133          0    2073600    2073600          0    2073600
  134          0    2073600    2073600          0    2073600
  135          0    2073600    2073600          0    2073600
  136          0    2073600    2073600          0    2073600
  137          0    2073600    2073600          0    2073600
  138          0    2073600    2073600          0    2073600
  139          0    2073600    2073600          0    2073600
  140          0    2073600    2073600          0    2073600
  141          0    2073600    2073600          0    2073600
  142          0    2073600    2073600          0    2073600
  143          0    2073600    2073600          0    2073600
  144          0    2073600    2073600          0    2073600
  145          0    2073600    2073600          0    2073600
  146          0    2073600    2073600          0    2073600
  147          0    2073600    2073600          0    2073600
  148          0    2073600    2073600          0    2073600
  149          0    2073600    2073600          0    2073600
  150          0    2073600    2073600          0    2073600
  151          0    2073600    2073600          0    2073600
  152          0    2073600    2073600          0    2073600
  153          0    2073600    2073600          0    2073600
  154          0    2073600    2073600          0    2073600
  155          0    2073600    2073600          0    2073600
  156          0    2073600    2073600          0    2073600
  157          0    2073600    2073600          0    2073600
  158          0    2073600    2073600          0    2073600
  159          0    2073600    2073600          0    2073600
  160          0    2073600    2073600          0    2073600
  161          0    2073600    2073600          0    2073600
  162          0    2073600    2073600          0    2073600
  163          0    2073600    2073600          0    2073600
  164          0    2073600    2073600          0    2073600
  165          0    2073600    2073600          0    2073600
  166          0    2073600    2073600          0    2073600
  167          0    2073600    2073600          0    2073600
  168          0    2073600    2073600          0    2073600
  169          0    2073600    2073600          0    2073600
  170          0    2073600    2073600          0    2073600
  171          0    2073600    2073600          0    2073600
  172          0    2073600    2073600          0    2073600
  173          0    2073600    2073600          0    2073600
  174          0    2073600    2073600          0    2073600
  175          0    2073600    2073600          0    2073600
  176          0    2073600    2073600          0    2073600
  177          0    2073600    2073600          0    2073600
  178          0    2073600    2073600          0    2073600
  179          0    2073600    2073600          0    2073600
  180          0    2073600    2073600          0    2073600
  181          0    2073600    2073600          0    2073600
  182          0    2073600    2073600          0    2073600
  183          0    2073600    2073600          0    2073600
  184          0    2073600    2073600          0    2073600
  185          0    2073600    2073600          0    2073600
  186          0    2073600    2073600          0    2073600
  187          0    2073600    2073600          0    2073600
  188          0    2073600    2073600          0    2073600
  189          0    2073600    2073600          0    2073600
  190          0    2073600    2073600          0    2073600
  191          0    2073600    2073600          0    2073600
  192          0    2073600    2073600          0    2073600
  193          0    2073600    2073600          0    2073600
  194          0    2073600    2073600          0    2073600
  195          0    2073600    2073600          0    2073600
  196          0    2073600    2073600          0    2073600
  197          0    2073600    2073600          0    2073600
  198          0    2073600    2073600          0    2073600
  199          0    2073600    2073600          0    2073600
  200          0    2073600    2073600          0    2073600
  201          0    2073600    2073600          0    2073600
  202          0    2073600    2073600          0    2073600
  203          0    2073600    2073600          0    2073600
  204          0    2073600    2073600          0    2073600
  205          0    2073600    2073600          0    2073600
  206          0    2073600    2073600          0    2073600
  207          0    2073600    2073600          0    2073600
  208          0    2073600    2073600          0    2073600
  209          0    2073600    2073600          0    2073600
  210          0    2073600    2073600          0    2073600
  211          0    2073600    2073600          0    2073600
  212          0    2073600    2073600          0    2073600
  213          0    2073600    2073600          0    2073600
  214          0    2073600    2073600          0    2073600
  215          0    2073600    2073600          0    2073600
  216          0    2073600    2073600          0    2073600
  217          0    2073600    2073600          0    2073600
  218          0    2073600    2073600          0    2073600
  219          0    2073600    2073600          0    2073600
  220          0    2073600    2073600          0    2073600
  221          0    2073600    2073600          0    2073600
  222          0    2073600    2073600          0    2073600
  223          0    2073600    2073600          0    2073600
  224          0    2073600    2073600          0    2073600
  225          0    2073600    2073600          0    2073600
  226          0    2073600    2073600          0    2073600
  227          0    2073600    2073600          0    2073600
  228          0    2073600    2073600          0    2073600
  229          0    2073600    2073600          0    2073600
  230          0    2073600    2073600          0    2073600
  231          0    2073600    2073600          0    2073600
  232          0    2073600    2073600          0    2073600
  233          0    2073600    2073600          0    2073600
  234          0    2073600    2073600          0    2073600
  235          0    2073600    2073600          0    2073600
  236          0    2073600    2073600          0    2073600
  237          0    2073600    2073600          0    2073600
  238          0    2073600    2073600          0    2073600
  239          0    2073600    2073600          0    2073600
  240          0    2073600    2073600          0    2073600
  241          0    2073600    2073600          0    2073600
  242          0    2073600    2073600          0    2073600
  243          0    2073600    2073600          0    2073600
  244          0    2073600    2073600          0    2073600
  245          0    2073600    2073600          0    2073600
  246          0    2073600    2073600          0    2073600
  247          0    2073600    2073600          0    2073600
  248          0    2073600    2073600          0    2073600
  249          0    2073600    2073600          0    2073600
  250          0    2073600    2073600          0    2073600
  251          0    2073600    2073600          0    2073600
  252          0    2073600    2073600          0    2073600
  253          0    2073600    2073600          0    2073600
  254          0    2073600    2073600          0    2073600
  255          0    2073600    2073600          0    2073600
Running on GPU: Tesla V100S-PCIE-32GB
Hist: 0.929440 ms CDF: 0.025280 ms CDF op: 0.024832 ms equalize: 0.058240 ms

