Loaded image name: oneColor.jpg
Loaded image W= 15360, H = 8640, actual cpp = 3 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0  132710400  132710400
    1          0          0          0          0  132710400
    2          0          0          0          0  132710400
    3          0          0          0          0  132710400
    4          0          0          0          0  132710400
    5          0          0          0          0  132710400
    6          0          0          0          0  132710400
    7          0          0          0          0  132710400
    8          0          0          0          0  132710400
    9          0          0          0          0  132710400
   10          0          0          0          0  132710400
   11          0          0          0          0  132710400
   12          0          0          0          0  132710400
   13          0          0          0          0  132710400
   14          0          0          0          0  132710400
   15          0          0          0          0  132710400
   16          0          0          0          0  132710400
   17          0          0          0          0  132710400
   18          0          0          0          0  132710400
   19          0          0          0          0  132710400
   20          0          0          0          0  132710400
   21          0          0          0          0  132710400
   22          0          0          0          0  132710400
   23          0          0          0          0  132710400
   24          0          0          0          0  132710400
   25          0          0          0          0  132710400
   26          0          0          0          0  132710400
   27          0          0          0          0  132710400
   28          0          0          0          0  132710400
   29          0          0          0          0  132710400
   30          0          0          0          0  132710400
   31          0          0          0          0  132710400
   32          0          0          0          0  132710400
   33          0          0          0          0  132710400
   34          0          0          0          0  132710400
   35          0          0          0          0  132710400
   36          0          0          0          0  132710400
   37          0          0          0          0  132710400
   38          0          0          0          0  132710400
   39          0          0          0          0  132710400
   40          0          0          0          0  132710400
   41          0          0          0          0  132710400
   42          0          0          0          0  132710400
   43          0          0          0          0  132710400
   44          0          0          0          0  132710400
   45          0          0          0          0  132710400
   46          0          0          0          0  132710400
   47          0          0          0          0  132710400
   48          0          0          0          0  132710400
   49          0          0          0          0  132710400
   50          0          0          0          0  132710400
   51          0          0          0          0  132710400
   52          0          0          0          0  132710400
   53          0          0          0          0  132710400
   54          0          0          0          0  132710400
   55          0          0          0          0  132710400
   56          0          0          0          0  132710400
   57          0          0          0          0  132710400
   58          0          0          0          0  132710400
   59          0          0          0          0  132710400
   60          0          0          0          0  132710400
   61          0          0          0          0  132710400
   62          0          0          0          0  132710400
   63          0          0          0          0  132710400
   64          0          0          0          0  132710400
   65          0          0          0          0  132710400
   66          0          0          0          0  132710400
   67          0          0          0          0  132710400
   68          0          0          0          0  132710400
   69          0          0          0          0  132710400
   70          0          0          0          0  132710400
   71          0          0          0          0  132710400
   72          0          0          0          0  132710400
   73          0          0          0          0  132710400
   74          0          0          0          0  132710400
   75          0          0          0          0  132710400
   76          0          0          0          0  132710400
   77          0          0          0          0  132710400
   78          0          0          0          0  132710400
   79          0          0          0          0  132710400
   80          0          0          0          0  132710400
   81          0          0          0          0  132710400
   82          0          0          0          0  132710400
   83          0          0          0          0  132710400
   84          0          0          0          0  132710400
   85          0          0          0          0  132710400
   86          0          0          0          0  132710400
   87          0          0          0          0  132710400
   88          0          0          0          0  132710400
   89          0          0          0          0  132710400
   90          0          0          0          0  132710400
   91          0          0          0          0  132710400
   92          0          0          0          0  132710400
   93          0          0          0          0  132710400
   94          0          0          0          0  132710400
   95          0          0          0          0  132710400
   96          0          0          0          0  132710400
   97          0          0          0          0  132710400
   98          0          0          0          0  132710400
