Loaded image name: perfectColor-s.jpg
Loaded image W= 1920, H = 1080, actual cpp = 3 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0       8100       8100       8100       8100       8100
    1       8100      16200      16200       8100      16200
    2       8100      24300      24300       8100      24300
    3       8100      32400      32400       8100      32400
    4       8100      40500      40500       8100      40500
    5       8100      48600      48600       8100      48600
    6       8100      56700      56700       8100      56700
    7       8100      64800      64800       8100      64800
    8       8100      72900      72900       8100      72900
    9       8100      81000      81000       8100      81000
   10       8100      89100      89100       8100      89100
   11       8100      97200      97200       8100      97200
   12       8100     105300     105300       8100     105300
   13       8100     113400     113400       8100     113400
   14       8100     121500     121500       8100     121500
   15       8100     129600     129600       8100     129600
   16       8100     137700     137700       8100     137700
   17       8100     145800     145800       8100     145800
   18       8100     153900     153900       8100     153900
   19       8100     162000     162000       8100     162000
   20       8100     170100     170100       8100     170100
   21       8100     178200     178200       8100     178200
   22       8100     186300     186300       8100     186300
   23       8100     194400     194400       8100     194400
   24       8100     202500     202500       8100     202500
   25       8100     210600     210600       8100     210600
   26       8100     218700     218700       8100     218700
   27       8100     226800     226800       8100     226800
   28       8100     234900     234900       8100     234900
   29       8100     243000     243000       8100     243000
   30       8100     251100     251100       8100     251100
   31       8100     259200     259200       8100     259200
   32       8100     267300     267300       8100     267300
   33       8100     275400     275400       8100     275400
   34       8100     283500     283500       8100     283500
   35       8100     291600     291600       8100     291600
   36       8100     299700     299700       8100     299700
   37       8100     307800     307800       8100     307800
   38       8100     315900     315900       8100     315900
   39       8100     324000     324000       8100     324000
   40       8100     332100     332100       8100     332100
   41       8100     340200     340200       8100     340200
   42       8100     348300     348300       8100     348300
   43       8100     356400     356400       8100     356400
   44       8100     364500     364500       8100     364500
   45       8100     372600     372600       8100     372600
   46       8100     380700     380700       8100     380700
   47       8100     388800     388800       8100     388800
   48       8100     396900     396900       8100     396900
   49       8100     405000     405000       8100     405000
   50       8100     413100     413100       8100     413100
   51       8100     421200     421200       8100     421200
   52       8100     429300     429300       8100     429300
   53       8100     437400     437400       8100     437400
   54       8100     445500     445500       8100     445500
   55       8100     453600     453600       8100     453600
   56       8100     461700     461700       8100     461700
   57       8100     469800     469800       8100     469800
   58       8100     477900     477900       8100     477900
   59       8100     486000     486000       8100     486000
   60       8100     494100     494100       8100     494100
   61       8100     502200     502200       8100     502200
   62       8100     510300     510300       8100     510300
   63       8100     518400     518400       8100     518400
   64       8100     526500     526500       8100     526500
   65       8100     534600     534600       8100     534600
   66       8100     542700     542700       8100     542700
   67       8100     550800     550800       8100     550800
   68       8100     558900     558900       8100     558900
   69       8100     567000     567000       8100     567000
