Loaded image name: perfectColor.jpg
Loaded image W= 15360, H = 8640, actual cpp = 3 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0     518400     518400     518400     518400     518400
    1     518400    1036800    1036800     518400    1036800
    2     518400    1555200    1555200     518400    1555200
    3     518400    2073600    2073600     518400    2073600
    4     518400    2592000    2592000     518400    2592000
    5     518400    3110400    3110400     518400    3110400
    6     518400    3628800    3628800     518400    3628800
    7     518400    4147200    4147200     518400    4147200
    8     518400    4665600    4665600     518400    4665600
    9     518400    5184000    5184000     518400    5184000
   10     518400    5702400    5702400     518400    5702400
   11     518400    6220800    6220800     518400    6220800
   12     518400    6739200    6739200     518400    6739200
   13     518400    7257600    7257600     518400    7257600
   14     518400    7776000    7776000     518400    7776000
   15     518400    8294400    8294400     518400    8294400
   16     518400    8812800    8812800     518400    8812800
   17     518400    9331200    9331200     518400    9331200
   18     518400    9849600    9849600     518400    9849600
   19     518400   10368000   10368000     518400   10368000
   20     518400   10886400   10886400     518400   10886400
   21     518400   11404800   11404800     518400   11404800
   22     518400   11923200   11923200     518400   11923200
   23     518400   12441600   12441600     518400   12441600
   24     518400   12960000   12960000     518400   12960000
   25     518400   13478400   13478400     518400   13478400
   26     518400   13996800   13996800     518400   13996800
   27     518400   14515200   14515200     518400   14515200
   28     518400   15033600   15033600     518400   15033600
   29     518400   15552000   15552000     518400   15552000
   30     518400   16070400   16070400     518400   16070400
   31     518400   16588800   16588800     518400   16588800
   32     518400   17107200   17107200     518400   17107200
   33     518400   17625600   17625600     518400   17625600
   34     518400   18144000   18144000     518400   18144000
   35     518400   18662400   18662400     518400   18662400
   36     518400   19180800   19180800     518400   19180800
   37     518400   19699200   19699200     518400   19699200
   38     518400   20217600   20217600     518400   20217600
   39     518400   20736000   20736000     518400   20736000
   40     518400   21254400   21254400     518400   21254400
   41     518400   21772800   21772800     518400   21772800
   42     518400   22291200   22291200     518400   22291200
   43     518400   22809600   22809600     518400   22809600
   44     518400   23328000   23328000     518400   23328000
   45     518400   23846400   23846400     518400   23846400
   46     518400   24364800   24364800     518400   24364800
   47     518400   24883200   24883200     518400   24883200
   48     518400   25401600   25401600     518400   25401600
   49     518400   25920000   25920000     518400   25920000
   50     518400   26438400   26438400     518400   26438400
   51     518400   26956800   26956800     518400   26956800
   52     518400   27475200   27475200     518400   27475200
   53     518400   27993600   27993600     518400   27993600
   54     518400   28512000   28512000     518400   28512000
   55     518400   29030400   29030400     518400   29030400
   56     518400   29548800   29548800     518400   29548800
   57     518400   30067200   30067200     518400   30067200
   58     518400   30585600   30585600     518400   30585600
   59     518400   31104000   31104000     518400   31104000
   60     518400   31622400   31622400     518400   31622400
   61     518400   32140800   32140800     518400   32140800
   62     518400   32659200   32659200     518400   32659200
   63     518400   33177600   33177600     518400   33177600
   64     518400   33696000   33696000     518400   33696000
   65     518400   34214400   34214400     518400   34214400
   66     518400   34732800   34732800     518400   34732800
   67     518400   35251200   35251200     518400   35251200
   68     518400   35769600   35769600     518400   35769600
   69     518400   36288000   36288000     518400   36288000
   70     518400   36806400   36806400     518400   36806400
   71     518400   37324800   37324800     518400   37324800
   72     518400   37843200   37843200     518400   37843200
   73     518400   38361600   38361600     518400   38361600
   74     518400   38880000   38880000     518400   38880000
   75     518400   39398400   39398400     518400   39398400
   76     518400   39916800   39916800     518400   39916800
   77     518400   40435200   40435200     518400   40435200
   78     518400   40953600   40953600     518400   40953600
   79     518400   41472000   41472000     518400   41472000
   80     518400   41990400   41990400     518400   41990400
   81     518400   42508800   42508800     518400   42508800
   82     518400   43027200   43027200     518400   43027200
   83     518400   43545600   43545600     518400   43545600
   84     518400   44064000   44064000     518400   44064000
   85     518400   44582400   44582400     518400   44582400
   86     518400   45100800   45100800     518400   45100800
   87     518400   45619200   45619200     518400   45619200
   88     518400   46137600   46137600     518400   46137600
   89     518400   46656000   46656000     518400   46656000
   90     518400   47174400   47174400     518400   47174400
   91     518400   47692800   47692800     518400   47692800
   92     518400   48211200   48211200     518400   48211200
   93     518400   48729600   48729600     518400   48729600
   94     518400   49248000   49248000     518400   49248000
   95     518400   49766400   49766400     518400   49766400
   96     518400   50284800   50284800     518400   50284800
   97     518400   50803200   50803200     518400   50803200
   98     518400   51321600   51321600     518400   51321600
   99     518400   51840000   51840000     518400   51840000
  100     518400   52358400   52358400     518400   52358400
  101     518400   52876800   52876800     518400   52876800
  102     518400   53395200   53395200     518400   53395200
  103     518400   53913600   53913600     518400   53913600
  104     518400   54432000   54432000     518400   54432000
  105     518400   54950400   54950400     518400   54950400
  106     518400   55468800   55468800     518400   55468800
  107     518400   55987200   55987200     518400   55987200
  108     518400   56505600   56505600     518400   56505600
  109     518400   57024000   57024000     518400   57024000
  110     518400   57542400   57542400     518400   57542400
  111     518400   58060800   58060800     518400   58060800
  112     518400   58579200   58579200     518400   58579200
  113     518400   59097600   59097600     518400   59097600
  114     518400   59616000   59616000     518400   59616000
  115     518400   60134400   60134400     518400   60134400
  116     518400   60652800   60652800     518400   60652800
  117     518400   61171200   61171200     518400   61171200
  118     518400   61689600   61689600     518400   61689600
  119     518400   62208000   62208000     518400   62208000
  120     518400   62726400   62726400     518400   62726400
  121     518400   63244800   63244800     518400   63244800
  122     518400   63763200   63763200     518400   63763200
  123     518400   64281600   64281600     518400   64281600
  124     518400   64800000   64800000     518400   64800000
  125     518400   65318400   65318400     518400   65318400
  126     518400   65836800   65836800     518400   65836800
  127     518400   66355200   66355200     518400   66355200
  128     518400   66873600   66873600     518400   66873600
  129     518400   67392000   67392000     518400   67392000
  130     518400   67910400   67910400     518400   67910400
  131     518400   68428800   68428800     518400   68428800
  132     518400   68947200   68947200     518400   68947200
  133     518400   69465600   69465600     518400   69465600
  134     518400   69984000   69984000     518400   69984000
  135     518400   70502400   70502400     518400   70502400
  136     518400   71020800   71020800     518400   71020800
  137     518400   71539200   71539200     518400   71539200
  138     518400   72057600   72057600     518400   72057600
  139     518400   72576000   72576000     518400   72576000
  140     518400   73094400   73094400     518400   73094400
  141     518400   73612800   73612800     518400   73612800
  142     518400   74131200   74131200     518400   74131200
  143     518400   74649600   74649600     518400   74649600
  144     518400   75168000   75168000     518400   75168000
  145     518400   75686400   75686400     518400   75686400
  146     518400   76204800   76204800     518400   76204800
  147     518400   76723200   76723200     518400   76723200
  148     518400   77241600   77241600     518400   77241600
  149     518400   77760000   77760000     518400   77760000
  150     518400   78278400   78278400     518400   78278400
  151     518400   78796800   78796800     518400   78796800
  152     518400   79315200   79315200     518400   79315200
  153     518400   79833600   79833600     518400   79833600
  154     518400   80352000   80352000     518400   80352000
  155     518400   80870400   80870400     518400   80870400
  156     518400   81388800   81388800     518400   81388800
  157     518400   81907200   81907200     518400   81907200
  158     518400   82425600   82425600     518400   82425600
  159     518400   82944000   82944000     518400   82944000
  160     518400   83462400   83462400     518400   83462400
  161     518400   83980800   83980800     518400   83980800
  162     518400   84499200   84499200     518400   84499200
  163     518400   85017600   85017600     518400   85017600
  164     518400   85536000   85536000     518400   85536000
  165     518400   86054400   86054400     518400   86054400
  166     518400   86572800   86572800     518400   86572800
  167     518400   87091200   87091200     518400   87091200
  168     518400   87609600   87609600     518400   87609600
  169     518400   88128000   88128000     518400   88128000
  170     518400   88646400   88646400     518400   88646400
  171     518400   89164800   89164800     518400   89164800
  172     518400   89683200   89683200     518400   89683200
  173     518400   90201600   90201600     518400   90201600
  174     518400   90720000   90720000     518400   90720000
  175     518400   91238400   91238400     518400   91238400
  176     518400   91756800   91756800     518400   91756800
  177     518400   92275200   92275200     518400   92275200
  178     518400   92793600   92793600     518400   92793600
  179     518400   93312000   93312000     518400   93312000
  180     518400   93830400   93830400     518400   93830400
  181     518400   94348800   94348800     518400   94348800
  182     518400   94867200   94867200     518400   94867200
  183     518400   95385600   95385600     518400   95385600
  184     518400   95904000   95904000     518400   95904000
  185     518400   96422400   96422400     518400   96422400
  186     518400   96940800   96940800     518400   96940800
  187     518400   97459200   97459200     518400   97459200
  188     518400   97977600   97977600     518400   97977600
  189     518400   98496000   98496000     518400   98496000
  190     518400   99014400   99014400     518400   99014400
  191     518400   99532800   99532800     518400   99532800
  192     518400  100051200  100051200     518400  100051200
  193     518400  100569600  100569600     518400  100569600
  194     518400  101088000  101088000     518400  101088000
  195     518400  101606400  101606400     518400  101606400
  196     518400  102124800  102124800     518400  102124800
  197     518400  102643200  102643200     518400  102643200
  198     518400  103161600  103161600     518400  103161600
  199     518400  103680000  103680000     518400  103680000
  200     518400  104198400  104198400     518400  104198400
  201     518400  104716800  104716800     518400  104716800
  202     518400  105235200  105235200     518400  105235200
  203     518400  105753600  105753600     518400  105753600
  204     518400  106272000  106272000     518400  106272000
  205     518400  106790400  106790400     518400  106790400
  206     518400  107308800  107308800     518400  107308800
  207     518400  107827200  107827200     518400  107827200
  208     518400  108345600  108345600     518400  108345600
  209     518400  108864000  108864000     518400  108864000
  210     518400  109382400  109382400     518400  109382400
  211     518400  109900800  109900800     518400  109900800
  212     518400  110419200  110419200     518400  110419200
  213     518400  110937600  110937600     518400  110937600
  214     518400  111456000  111456000     518400  111456000
  215     518400  111974400  111974400     518400  111974400
  216     518400  112492800  112492800     518400  112492800
  217     518400  113011200  113011200     518400  113011200
  218     518400  113529600  113529600     518400  113529600
  219     518400  114048000  114048000     518400  114048000
  220     518400  114566400  114566400     518400  114566400
  221     518400  115084800  115084800     518400  115084800
  222     518400  115603200  115603200     518400  115603200
  223     518400  116121600  116121600     518400  116121600
  224     518400  116640000  116640000     518400  116640000
  225     518400  117158400  117158400     518400  117158400
  226     518400  117676800  117676800     518400  117676800
  227     518400  118195200  118195200     518400  118195200
  228     518400  118713600  118713600     518400  118713600
  229     518400  119232000  119232000     518400  119232000
  230     518400  119750400  119750400     518400  119750400
  231     518400  120268800  120268800     518400  120268800
  232     518400  120787200  120787200     518400  120787200
  233     518400  121305600  121305600     518400  121305600
