Loaded image name: s-kolesar-neq.jpg
Loaded image W= 400, H = 250, actual cpp = 4 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0        180        180
    1          0          0          0          0        180
    2          0          0          0        603        783
    3          0          0          0          0        783
    4          0          0          0          0        783
    5          0          0          0       1274       2057
    6          0          0          0          0       2057
    7          0          0          0          0       2057
    8          0          0          0          0       2057
    9          0          0          0          0       2057
   10          0          0          0       1895       3952
   11          0          0          0          0       3952
   12          0          0          0          0       3952
   13          0          0          0          0       3952
   14          0          0          0          0       3952
   15          0          0          0       1819       5771
   16          0          0          0          0       5771
   17          0          0          0          0       5771
   18          0          0          0          0       5771
   19          0          0          0          0       5771
   20          0          0          0       1943       7714
   21          0          0          0          0       7714
   22          0          0          0          0       7714
   23          0          0          0          0       7714
   24          0          0          0          0       7714
   25          0          0          0       1911       9625
   26          0          0          0          0       9625
   27          0          0          0          0       9625
   28          0          0          0          0       9625
   29          0          0          0       1886      11511
   30          0          0          0          0      11511
   31          0          0          0          0      11511
   32          0          0          0          0      11511
   33          0          0          0          0      11511
   34          0          0          0       1916      13427
   35          0          0          0          0      13427
   36          0          0          0          0      13427
   37          0          0          0          0      13427
   38          0          0          0          0      13427
   39          0          0          0       2004      15431
   40          0          0          0          0      15431
   41          0          0          0          0      15431
   42          0          0          0          0      15431
   43          0          0          0          0      15431
   44          0          0          0          0      15431
   45          0          0          0       2022      17453
   46          0          0          0          0      17453
   47          0          0          0          0      17453
   48          0          0          0          0      17453
   49          0          0          0       1954      19407
   50          0          0          0          0      19407
   51          0          0          0          0      19407
   52          0          0          0          0      19407
   53          0          0          0          0      19407
   54          0          0          0       1819      21226
   55          0          0          0          0      21226
   56          0          0          0          0      21226
   57          0          0          0          0      21226
   58          0          0          0          0      21226
   59          0          0          0       1779      23005
   60          0          0          0          0      23005
   61          0          0          0          0      23005
   62          0          0          0          0      23005
   63          0          0          0       1619      24624
   64          0          0          0          0      24624
   65          0          0          0          0      24624
   66          0          0          0          0      24624
   67          0          0          0       1528      26152
   68          0          0          0          0      26152
   69          0          0          0          0      26152
   70          0          0          0          0      26152
   71          0          0          0       1552      27704
   72          0          0          0          0      27704
   73          0          0          0          0      27704
   74          0          0          0       1493      29197
   75          0          0          0          0      29197
   76          0          0          0          0      29197
   77          0          0          0          0      29197
   78          0          0          0       1425      30622
   79          0          0          0          0      30622
   80          0          0          0          0      30622
   81          0          0          0          0      30622
   82          0          0          0       1370      31992
   83          0          0          0          0      31992
   84          0          0          0          0      31992
   85          0          0          0       1306      33298
   86          0          0          0          0      33298
   87          0          0          0          0      33298
   88          0          0          0       1360      34658
   89          0          0          0          0      34658
   90          0          0          0          0      34658
   91          0          0          0          0      34658
   92          0          0          0       1380      36038
   93          0          0          0          0      36038
   94          0          0          0          0      36038
   95          0          0          0       1414      37452
   96          0          0          0          0      37452
   97          0          0          0          0      37452
   98          2          2          2          0      37452
   99        178        180        180       1414      38866
  100        603        783        783          0      38866
  101       1274       2057       2057          0      38866
  102       1895       3952       3952          0      38866
  103       1819       5771       5771       1483      40349
  104       1943       7714       7714          0      40349
  105       1911       9625       9625          0      40349
  106       1886      11511      11511          0      40349
  107       1916      13427      13427       1508      41857
  108       2004      15431      15431          0      41857
  109       2022      17453      17453          0      41857
  110       1954      19407      19407          0      41857
  111       1819      21226      21226       1481      43338
  112       1779      23005      23005          0      43338
  113       1619      24624      24624          0      43338
  114       1528      26152      26152       1376      44714
  115       1552      27704      27704          0      44714
  116       1493      29197      29197          0      44714
  117       1425      30622      30622       1260      45974
  118       1370      31992      31992          0      45974
  119       1306      33298      33298          0      45974
  120       1360      34658      34658        941      46915
  121       1380      36038      36038          0      46915
  122       1414      37452      37452        749      47664
  123       1414      38866      38866        672      48336
  124       1483      40349      40349          0      48336
  125       1508      41857      41857        568      48904
  126       1481      43338      43338          0      48904
  127       1376      44714      44714        714      49618
  128       1260      45974      45974          0      49618
  129        941      46915      46915        811      50429
