Loaded image name: truck-neq.jpg
Loaded image W= 1512, H = 2016, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0        717        717
    1          0          0          0      16878      17595
    2          0          0          0          0      17595
    3          0          0          0      13913      31508
    4          0          0          0          0      31508
    5          0          0          0      23578      55086
    6          0          0          0          0      55086
    7          0          0          0      32319      87405
    8          0          0          0          0      87405
    9          0          0          0          0      87405
   10          0          0          0          0      87405
   11          0          0          0      47632     135037
   12          0          0          0          0     135037
   13          0          0          0          0     135037
   14          0          0          0          0     135037
   15          0          0          0      41254     176291
   16          0          0          0          0     176291
   17          0          0          0          0     176291
   18          0          0          0      40988     217279
   19          0          0          0          0     217279
   20          0          0          0          0     217279
   21          0          0          0      37526     254805
   22          0          0          0          0     254805
   23          0          0          0          0     254805
   24          0          0          0      33842     288647
   25          0          0          0          0     288647
   26          0          0          0          0     288647
   27          0          0          0      31709     320356
   28          0          0          0          0     320356
   29          0          0          0      31863     352219
   30          0          0          0          0     352219
   31          0          0          0          0     352219
   32          0          0          0      35196     387415
   33          0          0          0          0     387415
   34          0          0          0          0     387415
   35          0          0          0          0     387415
   36          0          0          0          0     387415
   37          0          0          0      49501     436916
   38          0          0          0          0     436916
   39          0          0          0          0     436916
   40          0          0          0      39267     476183
   41          0          0          0          0     476183
   42          0          0          0          0     476183
   43          0          0          0      37193     513376
   44          0          0          0          0     513376
   45          0          0          0          0     513376
   46          0          0          0      38023     551399
   47          0          0          0          0     551399
   48          0          0          0          0     551399
   49          0          0          0      36047     587446
   50          0          0          0          0     587446
   51          0          0          0          0     587446
   52          0          0          0      33602     621048
   53          0          0          0          0     621048
   54          0          0          0          0     621048
   55          0          0          0      32511     653559
   56          0          0          0          0     653559
   57          0          0          0          0     653559
   58          0          0          0      36251     689810
   59          0          0          0          0     689810
   60          0          0          0      27731     717541
   61          0          0          0          0     717541
   62          0          0          0      29560     747101
   63          0          0          0          0     747101
   64          0          0          0          0     747101
   65          0          0          0      29148     776249
   66          0          0          0          0     776249
   67          0          0          0      29359     805608
   68          0          0          0          0     805608
   69          0          0          0          0     805608
   70          0          0          0      27743     833351
   71          0          0          0          0     833351
   72          0          0          0      28678     862029
   73          0          0          0          0     862029
   74          0          0          0          0     862029
   75          0          0          0      30875     892904
   76          0          0          0          0     892904
   77          0          0          0          0     892904
   78          0          0          0      41663     934567
   79          0          0          0          0     934567
   80          0          0          0          0     934567
   81          0          0          0      35398     969965
   82          0          0          0          0     969965
   83          0          0          0          0     969965
   84          0          0          0      33044    1003009
   85          0          0          0          0    1003009
   86         14         14         14          0    1003009
   87        703        717        717      39436    1042445
   88       6852       7569       7569          0    1042445
   89      10026      17595      17595          0    1042445
   90      13913      31508      31508          0    1042445
   91      23578      55086      55086          0    1042445
   92      32319      87405      87405          0    1042445
   93      47632     135037     135037          0    1042445
   94      41254     176291     176291          0    1042445
   95      40988     217279     217279          0    1042445
   96      37526     254805     254805          0    1042445
   97      33842     288647     288647          0    1042445
   98      31709     320356     320356     127248    1169693
   99      31863     352219     352219          0    1169693
  100      35196     387415     387415          0    1169693
  101      49501     436916     436916          0    1169693
  102      39267     476183     476183          0    1169693
  103      37193     513376     513376          0    1169693
  104      38023     551399     551399          0    1169693
  105      36047     587446     587446          0    1169693
  106      33602     621048     621048          0    1169693
  107      32511     653559     653559          0    1169693
