Loaded image name: vdolina-neq.jpg
Loaded image W= 3024, H = 4032, actual cpp = 1 
 Beam   Hist_GPU    CDF_GPU  O_CDF_GPU   New_Hist    New_CDF
    0          0          0          0       1125       1125
    1          0          0          0      28598      29723
    2          0          0          0          0      29723
    3          0          0          0     113842     143565
    4          0          0          0          0     143565
    5          0          0          0          0     143565
    6          0          0          0     125850     269415
    7          0          0          0      88501     357916
    8          0          0          0          0     357916
    9          0          0          0          0     357916
   10          0          0          0     136295     494211
   11          0          0          0          0     494211
   12          0          0          0          0     494211
   13          0          0          0     117323     611534
   14          0          0          0          0     611534
   15          0          0          0          0     611534
   16          0          0          0          0     611534
   17          0          0          0     201600     813134
   18          0          0          0          0     813134
   19          0          0          0          0     813134
   20          0          0          0          0     813134
   21          0          0          0          0     813134
   22          0          0          0     239882    1053016
   23          0          0          0          0    1053016
   24          0          0          0          0    1053016
   25          0          0          0          0    1053016
   26          0          0          0     180775    1233791
   27          0          0          0          0    1233791
   28          0          0          0          0    1233791
   29          0          0          0          0    1233791
   30          0          0          0          0    1233791
   31          0          0          0     265944    1499735
   32          0          0          0          0    1499735
   33          0          0          0          0    1499735
   34          0          0          0          0    1499735
   35          0          0          0          0    1499735
   36          0          0          0          0    1499735
   37          0          0          0     273199    1772934
   38          0          0          0          0    1772934
   39          0          0          0          0    1772934
   40          0          0          0          0    1772934
   41          0          0          0     193895    1966829
   42          0          0          0          0    1966829
   43          0          0          0          0    1966829
   44          0          0          0          0    1966829
   45          0          0          0          0    1966829
   46          0          0          0          0    1966829
   47          0          0          0     272136    2238965
   48          0          0          0          0    2238965
   49          0          0          0          0    2238965
   50          0          0          0          0    2238965
   51          0          0          0     189619    2428584
   52          0          0          0          0    2428584
   53          0          0          0          0    2428584
   54          0          0          0          0    2428584
   55          0          0          0          0    2428584
   56          0          0          0     270797    2699381
   57          0          0          0          0    2699381
   58          0          0          0          0    2699381
   59          0          0          0          0    2699381
   60          0          0          0          0    2699381
   61          0          0          0          0    2699381
   62          0          0          0     279011    2978392
   63          0          0          0          0    2978392
   64          0          0          0          0    2978392
   65          0          0          0          0    2978392
   66          0          0          0          0    2978392
   67          0          0          0     203330    3181722
   68          0          0          0          0    3181722
   69          0          0          0          0    3181722
   70          0          0          0          0    3181722
   71          0          0          0          0    3181722
   72          0          0          0          0    3181722
   73          0          0          0     289273    3470995
   74          0          0          0          0    3470995
   75          0          0          0          0    3470995
   76          0          0          0          0    3470995
   77          0          0          0     206713    3677708
   78       1125       1125       1125          0    3677708
   79      28598      29723      29723          0    3677708
   80     113842     143565     143565          0    3677708
   81     125850     269415     269415          0    3677708
   82      88501     357916     357916          0    3677708
   83     136295     494211     494211     292620    3970328
   84     117323     611534     611534          0    3970328
   85     201600     813134     813134          0    3970328
   86     239882    1053016    1053016          0    3970328
   87     180775    1233791    1233791          0    3970328
   88     265944    1499735    1499735          0    3970328
   89     273199    1772934    1772934     295329    4265657
   90     193895    1966829    1966829          0    4265657
   91     272136    2238965    2238965          0    4265657
   92     189619    2428584    2428584          0    4265657
   93     270797    2699381    2699381     204426    4470083
   94     279011    2978392    2978392          0    4470083
   95     203330    3181722    3181722          0    4470083
   96     289273    3470995    3470995          0    4470083
   97     206713    3677708    3677708          0    4470083
   98     292620    3970328    3970328          0    4470083
   99     295329    4265657    4265657     276906    4746989
  100     204426    4470083    4470083          0    4746989
  101     276906    4746989    4746989          0    4746989
  102     248838    4995827    4995827          0    4746989
  103     158588    5154415    5154415          0    4746989
  104     199772    5354187    5354187     248838    4995827
  105     129932    5484119    5484119          0    4995827
  106     174532    5658651    5658651          0    4995827
  107     168155    5826806    5826806          0    4995827
  108     109331    5936137    5936137     158588    5154415
  109     143133    6079270    6079270          0    5154415
  110      96173    6175443    6175443          0    5154415
  111     126355    6301798    6301798          0    5154415
  112     118365    6420163    6420163     199772    5354187
  113      79275    6499438    6499438          0    5354187
  114     107036    6606474    6606474          0    5354187
  115      99962    6706436    6706436     129932    5484119
  116      63819    6770255    6770255          0    5484119
  117      82046    6852301    6852301          0    5484119
  118      53738    6906039    6906039     174532    5658651
  119      69866    6975905    6975905          0    5658651
  120      63501    7039406    7039406          0    5658651
  121      41968    7081374    7081374          0    5658651
  122      57081    7138455    7138455     168155    5826806
  123      53953    7192408    7192408          0    5826806
  124      35991    7228399    7228399     109331    5936137
  125      50443    7278842    7278842          0    5936137
  126      40034    7318876    7318876          0    5936137
  127      74921    7393797    7393797     143133    6079270
  128     110361    7504158    7504158          0    6079270
  129      95001    7599159    7599159      96173    6175443
  130     123531    7722690    7722690          0    6175443
  131      76047    7798737    7798737          0    6175443
  132     113562    7912299    7912299     126355    6301798
  133     128284    8040583    8040583          0    6301798
  134      94186    8134769    8134769     118365    6420163
  135     157989    8292758    8292758          0    6420163
  136     190475    8483233    8483233      79275    6499438
  137     135267    8618500    8618500          0    6499438
  138     195160    8813660    8813660     107036    6606474
  139     138591    8952251    8952251          0    6606474
  140     206161    9158412    9158412      99962    6706436
  141     207525    9365937    9365937          0    6706436
  142     136008    9501945    9501945      63819    6770255
  143     190365    9692310    9692310      82046    6852301
  144     198449    9890759    9890759      53738    6906039
  145     137934   10028693   10028693          0    6906039
  146     198631   10227324   10227324      69866    6975905
  147     135912   10363236   10363236      63501    7039406
  148     193212   10556448   10556448      41968    7081374
  149     168153   10724601   10724601      57081    7138455
  150     100116   10824717   10824717      53953    7192408
  151     133273   10957990   10957990      35991    7228399
  152      85052   11043042   11043042      50443    7278842
  153     110765   11153807   11153807      40034    7318876
  154     106654   11260461   11260461          0    7318876
  155      72527   11332988   11332988      74921    7393797
  156      98855   11431843   11431843          0    7393797
  157      95949   11527792   11527792     110361    7504158
  158      64050   11591842   11591842          0    7504158
  159      84476   11676318   11676318      95001    7599159
  160      55047   11731365   11731365          0    7599159
  161      72258   11803623   11803623          0    7599159
  162      63989   11867612   11867612     123531    7722690
  163      40552   11908164   11908164      76047    7798737
  164      54673   11962837   11962837          0    7798737
  165      34074   11996911   11996911     113562    7912299
  166      40691   12037602   12037602          0    7912299
  167      34048   12071650   12071650          0    7912299
  168      19890   12091540   12091540     128284    8040583
  169      24446   12115986   12115986          0    8040583
  170      20632   12136618   12136618      94186    8134769
  171      11335   12147953   12147953          0    8134769
  172      13928   12161881   12161881          0    8134769
  173       7868   12169749   12169749     157989    8292758
  174       9019   12178768   12178768          0    8292758
  175      12403   12191171   12191171          0    8292758
  176       1572   12192743   12192743          0    8292758
  177         25   12192768   12192768     190475    8483233
  178          0   12192768   12192768          0    8483233
  179          0   12192768   12192768          0    8483233
  180          0   12192768   12192768     135267    8618500
  181          0   12192768   12192768          0    8618500
  182          0   12192768   12192768          0    8618500
  183          0   12192768   12192768          0    8618500
  184          0   12192768   12192768     195160    8813660
  185          0   12192768   12192768          0    8813660
  186          0   12192768   12192768          0    8813660
  187          0   12192768   12192768     138591    8952251
  188          0   12192768   12192768          0    8952251
  189          0   12192768   12192768          0    8952251
  190          0   12192768   12192768          0    8952251
  191          0   12192768   12192768          0    8952251
  192          0   12192768   12192768     206161    9158412
  193          0   12192768   12192768          0    9158412
  194          0   12192768   12192768          0    9158412
  195          0   12192768   12192768          0    9158412
  196          0   12192768   12192768     207525    9365937
  197          0   12192768   12192768          0    9365937
  198          0   12192768   12192768          0    9365937
  199          0   12192768   12192768     136008    9501945
  200          0   12192768   12192768          0    9501945
  201          0   12192768   12192768          0    9501945
  202          0   12192768   12192768          0    9501945
  203          0   12192768   12192768     190365    9692310
  204          0   12192768   12192768          0    9692310
  205          0   12192768   12192768          0    9692310
  206          0   12192768   12192768          0    9692310
  207          0   12192768   12192768     198449    9890759
  208          0   12192768   12192768          0    9890759
  209          0   12192768   12192768          0    9890759
  210          0   12192768   12192768     137934   10028693
  211          0   12192768   12192768          0   10028693
  212          0   12192768   12192768          0   10028693
  213          0   12192768   12192768          0   10028693
  214          0   12192768   12192768     198631   10227324
  215          0   12192768   12192768          0   10227324
  216          0   12192768   12192768          0   10227324
  217          0   12192768   12192768     135912   10363236
  218          0   12192768   12192768          0   10363236
  219          0   12192768   12192768          0   10363236
  220          0   12192768   12192768          0   10363236
  221          0   12192768   12192768     193212   10556448
  222          0   12192768   12192768          0   10556448
  223          0   12192768   12192768          0   10556448
  224          0   12192768   12192768     168153   10724601
  225          0   12192768   12192768          0   10724601
  226          0   12192768   12192768     100116   10824717
  227          0   12192768   12192768          0   10824717
  228          0   12192768   12192768          0   10824717
  229          0   12192768   12192768     133273   10957990
  230          0   12192768   12192768          0   10957990
  231          0   12192768   12192768      85052   11043042
  232          0   12192768   12192768          0   11043042
  233          0   12192768   12192768     110765   11153807
  234          0   12192768   12192768          0   11153807
  235          0   12192768   12192768     106654   11260461
  236          0   12192768   12192768          0   11260461
  237          0   12192768   12192768      72527   11332988
  238          0   12192768   12192768          0   11332988
  239          0   12192768   12192768      98855   11431843
  240          0   12192768   12192768          0   11431843
  241          0   12192768   12192768      95949   11527792
  242          0   12192768   12192768      64050   11591842
  243          0   12192768   12192768          0   11591842
  244          0   12192768   12192768      84476   11676318
  245          0   12192768   12192768      55047   11731365
  246          0   12192768   12192768          0   11731365
  247          0   12192768   12192768      72258   11803623
  248          0   12192768   12192768      63989   11867612
  249          0   12192768   12192768      40552   11908164
  250          0   12192768   12192768      54673   11962837
  251          0   12192768   12192768      34074   11996911
  252          0   12192768   12192768      74739   12071650
  253          0   12192768   12192768      44336   12115986
  254          0   12192768   12192768      45895   12161881
  255          0   12192768   12192768      30887   12192768
Running on GPU: Tesla V100S-PCIE-32GB
Hist: 1.142432 ms CDF: 0.033600 ms CDF op: 0.024480 ms equalize: 0.136000 ms

